,City,Country,Date,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
0,Quelimane,MZ,1571272866,-17.88,36.89,73.4,88,20,3.36
1,Melo,UY,1571272866,-32.37,-54.17,59.47,97,100,15.8
2,Hermanus,ZA,1571272866,-34.42,19.24,62.01,93,0,4.0
3,Islamkot,PK,1571272866,24.7,70.18,85.14,40,8,6.99
4,Atuona,PF,1571272867,-9.8,-139.03,80.08,71,2,11.14
5,Bintulu,MY,1571272867,3.17,113.03,78.8,88,75,4.7
6,Kruisfontein,ZA,1571272867,-34.0,24.73,61.74,45,16,4.93
7,Auki,NG,1571272867,12.18,6.51,76.69,76,100,7.33
8,Ushuaia,AR,1571272850,-54.81,-68.31,51.8,92,6,12.75
9,Mataura,NZ,1571272868,-46.19,168.86,55.0,63,91,10.0
10,Roald,NO,1571272868,62.58,6.12,50.0,76,100,9.17
11,Roebourne,AU,1571272868,-20.77,117.15,82.67,17,0,1.53
12,Panjab,AF,1571272869,34.38,67.02,30.13,43,0,1.92
13,Port Alfred,ZA,1571272869,-33.59,26.89,57.0,96,0,9.16
14,Thompson,CA,1571272869,55.74,-97.86,32.0,83,75,3.36
15,Watsa,CD,1571272870,3.04,29.53,63.61,98,100,3.05
16,Bougouni,ML,1571272870,11.42,-7.49,76.8,77,10,6.94
17,Mar del Plata,AR,1571272870,-46.43,-67.52,51.57,69,36,8.76
18,Umm Lajj,SA,1571272870,25.02,37.27,83.37,31,78,6.81
19,Abnub,EG,1571272871,27.27,31.15,72.39,56,0,12.9
20,Norman Wells,CA,1571272871,65.28,-126.83,32.0,93,90,2.24
21,Marsh Harbour,BS,1571272871,26.54,-77.06,79.63,77,8,10.45
22,Rikitea,PF,1571272872,-23.12,-134.97,74.73,77,83,7.72
23,Vostok,RU,1571272872,46.45,135.83,35.02,58,0,5.27
24,Usinsk,RU,1571272872,66.0,57.56,25.56,73,80,3.91
25,Busselton,AU,1571272873,-33.64,115.35,64.0,47,33,2.44
26,Jamestown,AU,1571272873,-33.21,138.6,55.58,46,13,12.27
27,Romanovo,RU,1571272873,56.49,40.39,38.59,81,61,8.81
28,Ararat,AM,1571272874,39.85,44.7,41.0,60,0,2.24
29,Victoria,BN,1571272874,5.28,115.24,84.2,79,75,1.12
30,Dingle,PH,1571272874,11.0,122.67,80.4,82,52,7.22
31,Lebu,ET,1571272874,8.96,38.73,53.6,76,75,6.93
32,Hilo,US,1571272875,19.71,-155.08,84.2,54,40,5.82
33,Okha,RU,1571272875,53.59,142.95,37.89,61,100,15.14
34,Hobart,AU,1571272875,-42.88,147.33,57.99,66,75,8.05
35,Ossora,RU,1571272876,59.24,163.07,34.16,62,100,4.39
36,Howard Springs,AU,1571272876,-12.5,131.05,89.01,58,20,8.05
37,Albany,US,1571272876,42.65,-73.75,55.4,87,90,3.36
